timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T19:28:59.261457,16.0,9.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:29:00.262696,16.0,8.0,6.0,11.0,8.0,11.0,10.0,6.0
2025-06-20T19:29:01.263340,16.0,8.0,5.0,12.0,7.0,9.0,10.0,5.0
2025-06-20T19:29:02.265927,16.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:03.266767,16.0,8.0,6.0,11.0,9.0,11.0,9.0,7.0
2025-06-20T19:29:04.267902,15.0,7.0,5.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T19:29:05.269363,16.0,9.0,5.0,11.0,9.0,11.0,9.0,5.0
2025-06-20T19:29:06.269924,16.0,7.0,6.0,11.0,6.0,10.0,10.0,6.0
2025-06-20T19:29:07.270540,15.0,9.0,5.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T19:29:08.273096,17.0,8.0,5.0,10.0,7.0,10.0,9.0,7.0
2025-06-20T19:29:09.273621,15.0,8.0,5.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:29:10.274043,16.0,8.0,5.0,11.0,7.0,10.0,11.0,6.0
2025-06-20T19:29:11.274655,16.0,8.0,6.0,11.0,7.0,11.0,9.0,5.0
2025-06-20T19:29:12.275344,15.0,8.0,5.0,12.0,8.0,10.0,10.0,6.0
2025-06-20T19:29:13.276812,16.0,8.0,6.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:14.278222,16.0,9.0,5.0,12.0,8.0,10.0,9.0,6.0
2025-06-20T19:29:15.281236,15.0,7.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:29:16.282513,16.0,8.0,5.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T19:29:17.283810,15.0,9.0,6.0,11.0,8.0,11.0,8.0,5.0
2025-06-20T19:29:18.285447,16.0,7.0,5.0,11.0,7.0,10.0,10.0,7.0
2025-06-20T19:29:19.287282,15.0,8.0,5.0,11.0,6.0,10.0,9.0,5.0
2025-06-20T19:29:20.288045,16.0,8.0,6.0,11.0,8.0,10.0,9.0,6.0
2025-06-20T19:29:21.291253,15.9,7.0,5.0,11.0,7.0,9.0,9.0,6.0
2025-06-20T19:29:22.291926,15.0,9.0,5.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T19:29:23.292700,16.0,7.0,4.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:24.293522,15.0,8.0,6.0,11.0,8.0,9.0,9.0,6.0
2025-06-20T19:29:25.294192,15.0,8.0,5.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:26.294722,16.0,8.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:29:27.295229,16.0,8.0,6.0,12.0,7.0,11.0,9.0,5.0
2025-06-20T19:29:28.295797,16.0,7.0,5.0,11.0,7.0,10.0,9.0,7.0
2025-06-20T19:29:29.296634,15.0,9.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:29:30.297534,16.0,8.0,6.0,11.0,9.0,10.0,9.0,6.0
2025-06-20T19:29:31.299019,16.0,8.0,5.0,11.0,6.0,10.0,11.0,6.0
2025-06-20T19:29:32.300617,16.0,8.0,5.0,11.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:33.302659,15.0,8.0,5.0,12.0,8.0,11.0,9.0,5.0
2025-06-20T19:29:34.303475,15.0,9.0,6.0,10.0,8.0,9.0,9.0,6.0
2025-06-20T19:29:35.304162,16.0,7.0,5.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:29:36.306490,16.0,9.0,6.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:29:37.307022,15.0,8.0,5.0,11.0,6.0,10.0,9.0,6.0
2025-06-20T19:29:38.307714,15.0,8.0,5.0,12.0,9.0,10.0,10.0,6.0
2025-06-20T19:29:39.309834,17.0,8.0,6.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:29:40.310893,14.0,7.0,4.0,12.0,7.0,10.0,10.0,6.0
