timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:16:50.738605,8.0,5.0,18.0,7.0,11.0,9.0,16.0,7.0
2025-06-06T16:16:51.739241,9.0,6.0,18.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:16:52.739845,6.0,5.0,18.0,8.0,10.0,10.0,15.0,5.0
2025-06-06T16:16:53.740867,9.0,5.0,18.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:54.745076,8.0,5.0,17.9,8.0,11.0,9.0,14.9,5.0
2025-06-06T16:16:55.747622,8.0,5.0,18.0,7.0,10.0,10.0,16.0,7.0
2025-06-06T16:16:56.749146,9.0,5.0,19.0,6.0,10.0,9.0,16.0,5.0
2025-06-06T16:16:57.750039,7.0,6.0,18.0,8.0,10.0,9.0,16.0,6.0
2025-06-06T16:16:58.751254,7.0,5.0,18.0,6.0,9.0,9.0,15.0,6.0
2025-06-06T16:16:59.752748,9.0,5.0,18.0,7.0,11.0,9.0,15.0,5.0
2025-06-06T16:17:00.754296,8.0,5.0,18.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:17:01.754854,8.0,5.0,18.0,7.0,9.0,9.0,15.0,6.0
2025-06-06T16:17:02.755332,9.0,5.0,19.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:17:03.756040,8.0,6.0,18.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:17:04.757751,8.0,5.0,18.0,6.0,10.0,10.0,15.0,5.0
2025-06-06T16:17:05.758299,7.0,5.0,18.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:17:06.759366,8.0,5.0,19.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:17:07.760497,8.0,5.0,17.0,7.0,11.0,9.0,15.0,6.0
2025-06-06T16:17:08.762790,9.0,5.0,18.0,7.0,9.0,10.0,16.0,5.0
2025-06-06T16:17:09.763919,8.0,6.0,19.0,7.0,11.0,9.0,16.0,7.0
2025-06-06T16:17:10.764729,7.0,5.0,17.0,8.0,11.0,9.0,16.0,5.0
2025-06-06T16:17:11.765285,10.0,5.0,19.0,7.0,10.0,11.0,16.0,6.0
2025-06-06T16:17:12.767868,8.0,6.0,19.0,8.0,11.0,9.0,16.0,7.0
2025-06-06T16:17:13.768471,8.0,5.0,18.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:17:14.770249,8.0,4.0,18.0,7.0,11.0,9.0,16.0,5.0
2025-06-06T16:17:15.774709,8.0,6.0,18.9,6.9,9.9,9.9,15.9,6.9
2025-06-06T16:17:16.779872,8.0,5.0,17.9,8.0,10.0,10.0,15.0,4.0
2025-06-06T16:17:17.780444,8.0,6.0,18.0,6.0,10.0,9.0,16.0,7.0
2025-06-06T16:17:18.780940,9.0,5.0,18.0,9.0,11.0,10.0,15.0,6.0
2025-06-06T16:17:19.781878,8.0,5.0,18.0,6.0,10.0,9.0,16.0,5.0
2025-06-06T16:17:20.783068,7.0,5.0,18.0,7.0,10.0,10.0,15.0,6.0
2025-06-06T16:17:21.784310,9.0,6.0,18.0,7.0,10.0,9.0,15.0,7.0
2025-06-06T16:17:22.784874,8.0,5.0,18.0,7.0,10.0,10.0,16.0,5.0
2025-06-06T16:17:23.786126,7.0,5.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:17:24.786594,8.0,6.0,18.0,8.0,10.0,9.0,14.0,5.0
2025-06-06T16:17:25.787163,8.0,4.0,18.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:17:26.787701,8.0,5.0,18.0,7.0,11.0,9.0,15.0,6.0
2025-06-06T16:17:27.788224,8.0,6.0,19.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:17:28.788658,7.0,4.0,17.0,6.0,10.0,9.0,15.0,6.0
